rank,name,year_founded,company_age_2024,location,country,funding_raw,funding_musd,funding_series,search_growth_5yr_raw,search_growth_5yr_pct_numeric,growth_status,description,category,category_group,growth_norm,age_norm,funding_norm,status_norm,growth_potential_score
1,DeepL,2009,15,"Cologne, Germany",Germany,$400M,400.0,Series Unknown,320%,320.0,Exploding,"Neural machine translation platform supporting 30+ languages for websites, documents, and emails.",NLP/Translation,NLP/Translation,0.5028926670627998,0.06666666666666665,0.6422574164406943,1.0,49.6
2,Frame AI,2016,8,"New York City, New York",New York,$17.9M,17.9,Series B,"1,088%",1088.0,Exploding,AI customer success platform that detects themes in customer feedback via 'Voice of the Customer engine'.,Customer Intelligence,Customer Intelligence,0.6799886899125561,0.5333333333333333,0.3149333817810314,1.0,61.8
3,Uizard,2018,6,"Copenhagen, Denmark",Denmark,$18.6M,18.6,Series A,"3,233%",3233.0,Exploding,AI platform that turns sketches/wireframes into functional app and website designs.,Design/UI,Design/UI,0.8377866803734817,0.6666666666666667,0.3188302018507789,1.0,71.6
4,Moveworks,2016,8,"Mountain View, CA",CA,$305M,305.0,Series C,332%,332.0,Exploding,AI workplace platform using NLU and conversational AI to resolve employee IT/HR issues end-to-end.,Enterprise Assistant,Conversational AI/Chatbots,0.5082133976148655,0.5333333333333333,0.6132863924702012,1.0,60.9
5,Databricks,2013,11,"San Francisco, California",California,$4B,4000.0,Series Unknown,471%,471.0,Exploding,Unified data and AI analytics platform for building and deploying ML applications at scale.,Data/ML Platform,Data/ML Platform,0.5587854923111157,0.33333333333333337,0.888740360206734,1.0,63.5
6,Synthesia,2017,7,"London, England",England,$156.6M,156.6,Series C,"5,100%",5100.0,Regular,AI video generation platform creating realistic videos with human-like avatars for e-learning and marketing.,Video Generation,Image/Video Editing,0.903853606757446,0.6,0.5421892042516842,0.5,69.5
7,Codeium,2021,3,"San Jose, California",California,$243M,243.0,Series C,99x+,9900.0,Exploding,"AI coding assistant offering real-time code suggestions, search, and IDE integration.",Dev Tools,Dev Tools,1.0,0.8666666666666667,0.5890256560598504,1.0,88.4
8,Cohere,2019,5,"Toronto, Canada",Canada,$942.9M,942.9,Series D,860%,860.0,Exploding,"Enterprise LLM company with Command (generation), Embed (embeddings), and Rerank (search) models.",LLM/Generative AI,LLM/Generative AI,0.6459313939735526,0.7333333333333334,0.7339847524496392,1.0,73.9
9,Soundful,2019,5,"San Diego, California",California,$4.5M,4.5,Seed,"4,100%",4100.0,Regular,"AI platform generating customizable soundtracks for videos, podcasts, and ads.",Audio/Music Generation,Voice/Audio,0.8722195256928618,0.7333333333333334,0.1826650235711058,0.5,64.4
10,Dialpad,2011,13,"San Francisco, California",California,$450M,450.0,Series F,"6,700%",6700.0,Regular,"AI customer intelligence platform for video meetings, call recording, and conversational chatbots.",Customer Intelligence,Customer Intelligence,0.9434053384387737,0.19999999999999996,0.6548482621608166,0.5,63.3
11,Yellow.AI,2016,8,"San Mateo, California",California,$102.2M,102.2,Series C,"1,329%",1329.0,Exploding,"Conversational AI/automation platform for customer service, sales, and marketing across 135+ languages.",Conversational AI,Conversational AI/Chatbots,0.7089716882436532,0.5333333333333333,0.49682250954815665,1.0,66.6
12,PlayHT,2022,2,"San Francisco, California",California,$2.2M,2.2,Pre-Seed,"9,800%",9800.0,Exploding,"AI text-to-speech platform with 900+ voices in 142 languages, voice cloning, and API access.",Voice/Speech,Voice/Audio,0.9985283232190535,0.9333333333333333,0.12463247271385712,1.0,80.8
13,MindsDB,2017,7,"Berkeley, California",California,$54.4M,54.4,Seed,"6,200%",6200.0,Regular,Open-source AutoML platform for training and deploying predictive models without coding.,Data/ML Platform,Data/ML Platform,0.9321631840194642,0.6,0.4301651836184917,0.5,68.4
14,Shield AI,2015,9,"San Diego, CA",CA,$1.1B,1100.0,Debt Financing,525%,525.0,Exploding,Defense tech company building autonomous drones and AI command/control software for military use.,Defense/Robotics,Defense/Robotics,0.5744893593040029,0.4666666666666667,0.7504810280186137,1.0,64.7
15,Eightfold,2016,8,"Santa Clara, California",California,$396.8M,396.8,Series E,567%,567.0,Exploding,"AI-powered HR platform for talent acquisition, retention, and training.",HR Tech,HR Tech,0.5856262637865485,0.5333333333333333,0.6413989181690817,1.0,64.6
16,Netra,2013,11,"Boston, MA",MA,$3.9M,3.9,Seed,57%,57.0,Regular,"AI video analysis platform for safety analysis, metadata analysis, and object detection.",Computer Vision,Computer Vision,0.2548430516560588,0.33333333333333337,0.17028773196717592,0.5,29.4
17,Deepgram,2015,9,"San Francisco, CA",CA,$85.9M,85.9,Series B,"4,900%",4900.0,Exploding,AI speech recognition platform transcribing and analyzing audio/video with high accuracy.,Voice/Speech,Voice/Audio,0.8980550480107721,0.4666666666666667,0.47840213748722377,1.0,72.2
18,Arthur AI,2017,7,"New York, New York",New York,$60.3M,60.3,Series B,650%,650.0,Exploding,AI/ML model monitoring and bias detection platform; also builds LLM firewall Arthur Shield.,MLOps/Monitoring,MLOps/Data Infra,0.6053989602806303,0.6,0.4410088654431914,1.0,63.0
19,OpenAI,2015,9,"San Francisco, CA",CA,$11.3B,11300.0,Secondary Market,"3,800%",3800.0,Regular,AI research company aiming for AGI; best known for ChatGPT.,LLM/Generative AI,LLM/Generative AI,0.8612063633954472,0.4666666666666667,1.0,0.5,73.6
20,Capacity,2017,7,"St. Louis, Missouri",Missouri,$61.5M,61.5,Series C,"1,183%",1183.0,Exploding,Fully AI-powered helpdesk that learns from employee-customer interactions.,Conversational AI,Conversational AI/Chatbots,0.6921140951703951,0.6,0.44308616621824504,1.0,66.5
21,Read AI,2020,4,"Seattle, Washington",Washington,$31M,31.0,Series A,"1,567%",1567.0,Exploding,"AI meeting-engagement tool measuring attendee engagement, talk-time, and sentiment in real time.",Meeting Intelligence,Meeting Intelligence,0.7328375349973183,0.8,0.37135617470900745,1.0,71.7
22,Dataiku,2013,11,"Paris, France",France,$846.8M,846.8,Series F,102%,102.0,Regular,Enterprise AI platform/workbench for building customized AI and ML solutions.,Data/ML Platform,Data/ML Platform,0.338099377218397,0.33333333333333337,0.7224793911939397,0.5,43.8
23,PhotoRoom,2019,5,"Paris, France",France,$62.1M,62.1,Series B,99x+,9900.0,Exploding,"AI photo editing app/API automating background removal, resizing, and blurring.",Image Editing,Image/Video Editing,1.0,0.7333333333333334,0.4441099072126712,1.0,82.2
24,DNSFilter,2015,9,"Washington, DC",DC,$62.1M,62.1,Series Unknown,150%,150.0,Exploding,"AI-powered cybersecurity platform protecting against phishing, ransomware, and malware.",Cybersecurity,Cybersecurity,0.39355916420893755,0.4666666666666667,0.4441099072126712,1.0,51.3
