rank,name,year_founded,company_age_2024,location,country,funding_raw,funding_musd,funding_series,search_growth_5yr_raw,search_growth_5yr_pct_numeric,growth_status,description,category,category_group
1,DeepL,2009,15,"Cologne, Germany",Germany,$400M,400.0,Series Unknown,320%,320.0,Exploding,"Neural machine translation platform supporting 30+ languages for websites, documents, and emails.",NLP/Translation,NLP/Translation
2,Frame AI,2016,8,"New York City, New York",New York,$17.9M,17.9,Series B,"1,088%",1088.0,Exploding,AI customer success platform that detects themes in customer feedback via 'Voice of the Customer engine'.,Customer Intelligence,Customer Intelligence
3,Uizard,2018,6,"Copenhagen, Denmark",Denmark,$18.6M,18.6,Series A,"3,233%",3233.0,Exploding,AI platform that turns sketches/wireframes into functional app and website designs.,Design/UI,Design/UI
4,Moveworks,2016,8,"Mountain View, CA",CA,$305M,305.0,Series C,332%,332.0,Exploding,AI workplace platform using NLU and conversational AI to resolve employee IT/HR issues end-to-end.,Enterprise Assistant,Conversational AI/Chatbots
5,Databricks,2013,11,"San Francisco, California",California,$4B,4000.0,Series Unknown,471%,471.0,Exploding,Unified data and AI analytics platform for building and deploying ML applications at scale.,Data/ML Platform,Data/ML Platform
6,Synthesia,2017,7,"London, England",England,$156.6M,156.6,Series C,"5,100%",5100.0,Regular,AI video generation platform creating realistic videos with human-like avatars for e-learning and marketing.,Video Generation,Image/Video Editing
7,Codeium,2021,3,"San Jose, California",California,$243M,243.0,Series C,99x+,9900.0,Exploding,"AI coding assistant offering real-time code suggestions, search, and IDE integration.",Dev Tools,Dev Tools
8,Cohere,2019,5,"Toronto, Canada",Canada,$942.9M,942.9,Series D,860%,860.0,Exploding,"Enterprise LLM company with Command (generation), Embed (embeddings), and Rerank (search) models.",LLM/Generative AI,LLM/Generative AI
9,Soundful,2019,5,"San Diego, California",California,$4.5M,4.5,Seed,"4,100%",4100.0,Regular,"AI platform generating customizable soundtracks for videos, podcasts, and ads.",Audio/Music Generation,Voice/Audio
10,Dialpad,2011,13,"San Francisco, California",California,$450M,450.0,Series F,"6,700%",6700.0,Regular,"AI customer intelligence platform for video meetings, call recording, and conversational chatbots.",Customer Intelligence,Customer Intelligence
11,Yellow.AI,2016,8,"San Mateo, California",California,$102.2M,102.2,Series C,"1,329%",1329.0,Exploding,"Conversational AI/automation platform for customer service, sales, and marketing across 135+ languages.",Conversational AI,Conversational AI/Chatbots
12,PlayHT,2022,2,"San Francisco, California",California,$2.2M,2.2,Pre-Seed,"9,800%",9800.0,Exploding,"AI text-to-speech platform with 900+ voices in 142 languages, voice cloning, and API access.",Voice/Speech,Voice/Audio
13,MindsDB,2017,7,"Berkeley, California",California,$54.4M,54.4,Seed,"6,200%",6200.0,Regular,Open-source AutoML platform for training and deploying predictive models without coding.,Data/ML Platform,Data/ML Platform
